time,open,high,low,close,Global liquidity,Volume
1645660800,37268.18,39720,34322,38347.3,101.49713318362382,42124.53317
1645747200,38347.3,39716,38016.44,39238.48,101.48941332074136,20761.6836
1645833600,39242.71,40300.5,38592.04,39137.8,101.48941332074136,8601.68556
1645920000,39146.97,39875.71,37020,37717.08,101.48941332074136,14440.25078
1646006400,37716.57,44240.77,37455.71,43192.66,101.39512557641822,25699.69871
1646092800,43189.61,44993.12,42850,44439.95,101.48123404679802,22596.97541
1646179200,44440,45426.45,43342.16,43912.34,101.74431937572999,17467.00025
1646265600,43916.47,44096.45,41811,42464.41,101.449151080176,19278.29672
1646352000,42464.41,42524.87,38577.01,39166.51,101.55284405376148,24080.62029
1646438400,39166.5,39600,38587.27,39402.43,101.55284405376148,8440.5306
1646524800,39407.87,39730.5,38091.02,38408.38,101.55284405376148,10099.99985
1646611200,38406.82,39556.58,37161.88,37994,101.47229666649069,19544.29851
1646697600,37991.05,39376.65,37851.54,38749.38,101.35088896308392,19132.78343
1646784000,38749.16,42597.84,38655.98,41953.97,101.40099640792859,24651.68801
1646870400,41949.28,42053.84,38560.85,39433.71,101.50806098374912,20814.02874
1646956800,39431.4,40251.51,38234.08,38732.04,101.23787172544075,15908.58979
1647043200,38732.33,39472.17,38654.02,38813.02,101.23787172544075,5644.16131
1647129600,38815.56,39318.19,37580.86,37793.01,101.23787172544075,8046.39057
1647216000,37793.4,39906.39,37560.4,39674.17,101.3401940241176,13566.82541
1647302400,39678.51,39900,38135,39298.1,101.39061269712913,14924.69079
1647388800,39298.11,41717.67,38850,41127.97,101.5534353438564,22805.49716
1647475200,41127.96,41486,40521,40950.33,101.60788727932386,15717.78861
1647561600,40950.23,42396.04,40130,41774.98,101.60694136115983,17181.16671
1647648000,41781.37,42429,41534.89,42232.26,101.60694136115983,8630.98736
1647734400,42232.05,42330.1,40918.72,41287.24,101.60694136115983,7621.04475
1647820800,41287.24,41578.33,40509,41017.71,101.55605286792388,10996.49101
1647907200,41017.7,43389.79,40885.19,42378.26,101.53640379011651,19913.30087
1647993600,42376.03,43036.95,41766.79,42899.71,101.57904279902043,13745.29007
1648080000,42899.71,44241,42627.48,44012.29,101.5053286791266,21827.94718
1648166400,44012.36,45130.91,43605.8,44331.85,102.60883963863174,19128.15182
1648252800,44336.19,44820.58,44091.09,44539.42,102.60883963863174,7305.19255
1648339200,44538.21,46950,44437.22,46850.01,102.60883963863174,10356.11755
1648425600,46850.01,48240,46662.28,47144.92,102.42328132847486,18787.67764
1648512000,47146.92,48124.94,46589,47454.19,102.22917101852107,15776.66554
1648598400,47448.41,47717.01,46544.89,47078.03,102.2697417321181,12672.46025
1648684800,47078.02,47624.09,45211,45528.45,102.12831765351926,17454.80594
1648771200,45525.25,46739.24,44232.86,46296.34,102.35348415234174,18111.15046
1648857600,46296.36,47219.46,45642.89,45826.27,102.35348415234174,8380.15705
1648944000,45826.24,47469.4,45552.07,46422.16,102.35348415234174,8773.78632
1649030400,46420.08,46900,45129.93,46596.83,102.32899880315458,13802.45549
1649116800,46594.39,47200,45371.16,45506.5,102.49203764308426,14390.58758
1649203200,45509.92,45523.25,43115.26,43166.7,102.84612963787059,24250.38717
1649289600,43166.71,43908.58,42734.69,43452.18,102.86512804387523,13245.38068
1649376000,43444.71,44000,42112,42262.02,102.79135854308844,11929.53569
1649462400,42261.9,42816.38,42118.96,42766.93,102.79135854308844,4805.73132
1649548800,42766.46,43443.32,41885.86,42165.96,102.79135854308844,5770.50781
1649635200,42165.96,42424.14,39204.59,39535.87,102.76641098910153,17229.38723
1649721600,39535.88,40705.68,39250,40086.23,102.57499928582224,13866.43288
1649808000,40086.7,41570.88,39550,41146.68,102.72235223141506,11457.64826
1649894400,41147.15,41512.43,39573.8,39954.08,102.72030758058091,11020.38629
1649980800,39953.62,40850,39770.22,40554.58,102.75710294898751,6448.02596
1650067200,40554.6,40699.99,40005,40387.6,102.75710294898751,4084.27737
1650153600,40387.6,40605.46,39553.07,39683.54,102.75710294898751,4833.32947
1650240000,39681.11,41100,38550,40803.58,102.68892733364574,13090.80854
1650326400,40810.87,41772.94,40571.99,41503.85,102.68420365689603,10218.12822
1650412800,41501.56,42209.58,40900,41377.61,102.50269696317392,14609.29846
1650499200,41371.88,43109.47,39744.75,40480.81,101.97448774615971,17204.36793
1650585600,40483.38,40802.65,39174.8,39712.25,101.98943055794342,16871.33546
1650672000,39712.2,39993.82,39296.19,39465.87,101.98943055794342,6957.18149
1650758400,39459.63,39945.74,39000,39464.56,101.98943055794342,6436.47111
1650844800,39463.75,40605.3,38210.24,40439.22,103.1896886113892,20515.8896
1650931200,40440.9,40817.16,37700,38113.82,103.34465617916891,21648.12866
1651017600,38118.43,39470,37882.83,39251.11,103.44905547454472,20832.21095
1651104000,39251.02,40400,38883.83,39743.22,103.5965071259131,16718.84501
1651190400,39741.21,39926.8,38161.85,38593.1,103.54017191332838,14282.27439
1651276800,38592.27,38795,37590,37644.1,103.54017191332838,6931.08619
1651363200,37640.35,38675.37,37401,38473.05,103.54017191332838,7980.91433
1651449600,38469.49,39181.27,38041,38510.89,103.60682805888236,17946.9979
1651536000,38510.88,38643.48,37505.01,37719.59,103.48651498294883,17947.00886
1651622400,37719.58,40038.27,37651.38,39669.56,103.5659874787615,21513.96847
1651708800,39669.56,39864.55,35568,36537.22,103.55391851049473,28833.01232
1651795200,36537.22,36664.4,35255.4,35999.1,103.43048794532217,28626.66324
1651881600,35999.1,36125,34785,35458,103.43048794532217,11372.46757
1651968000,35458,35499.93,33701,34027.91,103.43048794532217,22357.52596
1652054400,34033.49,34231.54,30010,30078.27,103.36427910792096,55136.46787
1652140800,30078.27,32645.49,29735.05,31002.39,103.58011308682148,55818.03343
1652227200,31002.39,32185.9,27682.38,28972.34,103.69379305360111,61530.04504
1652313600,28977.75,30091.2,25338.53,28941.95,103.67979370589892,70702.62369
1652400000,28941.95,30990,28662.7,29232.18,103.65853268296256,34643.06556
1652486400,29234.73,30287.58,28564.38,30041.88,103.65853268296256,15245.48249
1652572800,30041.9,31418.35,29436.06,31290.05,103.65853268296256,16440.90728
1652659200,31290.02,31293.31,29055,29839.89,103.6067309562193,22646.19959
1652745600,29839.89,30750,29415.01,30412.12,103.6646462876867,19833.32138
1652832000,30412.1,30675.92,28605,28672.94,103.71424828789992,28348.44073
1652918400,28671.5,30500,28645.2,30274.59,103.20031975809995,29009.98545
1653004800,30274.59,30729.83,28690.92,29155.75,103.45116518833936,34328.20232
